data,nome_metrica,valor,abaixo_95,acima_95,tipo
2020-04-21,"Rt (Thompson et al., 2019)",0.564,0.453,0.681,2
2020-04-22,"Rt (Thompson et al., 2019)",0.622,0.496,0.760,2
2020-04-23,"Rt (Thompson et al., 2019)",0.657,0.531,0.797,2
2020-04-24,"Rt (Thompson et al., 2019)",0.781,0.642,0.939,2
2020-04-25,"Rt (Thompson et al., 2019)",0.927,0.749,1.108,2
2020-04-26,"Rt (Thompson et al., 2019)",0.846,0.676,1.026,2
2020-04-27,"Rt (Thompson et al., 2019)",1.070,0.859,1.284,2
2020-04-28,"Rt (Thompson et al., 2019)",1.185,0.972,1.407,2
2020-04-29,"Rt (Thompson et al., 2019)",0.949,0.763,1.156,2
2020-04-30,"Rt (Thompson et al., 2019)",1.218,1.006,1.428,2
2020-05-01,"Rt (Thompson et al., 2019)",1.182,0.976,1.398,2
2020-05-03,"Rt (Thompson et al., 2019)",1.198,0.980,1.412,2
2020-05-04,"Rt (Thompson et al., 2019)",1.192,0.992,1.399,2
2020-05-05,"Rt (Thompson et al., 2019)",0.994,0.800,1.218,2
2020-05-06,"Rt (Thompson et al., 2019)",1.066,0.866,1.261,2
2020-05-07,"Rt (Thompson et al., 2019)",0.961,0.774,1.164,2
2020-05-08,"Rt (Thompson et al., 2019)",0.997,0.817,1.186,2
2020-05-09,"Rt (Thompson et al., 2019)",0.979,0.807,1.173,2
2020-05-11,"Rt (Thompson et al., 2019)",0.835,0.685,1.007,2
2020-05-12,"Rt (Thompson et al., 2019)",0.951,0.778,1.163,2
2020-05-13,"Rt (Thompson et al., 2019)",0.956,0.780,1.160,2
2020-05-14,"Rt (Thompson et al., 2019)",0.947,0.768,1.146,2
2020-05-15,"Rt (Thompson et al., 2019)",1.020,0.829,1.220,2
2020-05-16,"Rt (Thompson et al., 2019)",1.091,0.889,1.300,2
2020-05-18,"Rt (Thompson et al., 2019)",1.138,0.928,1.351,2
2020-05-19,"Rt (Thompson et al., 2019)",1.206,1.001,1.428,2
2020-05-20,"Rt (Thompson et al., 2019)",1.277,1.068,1.489,2
2020-05-21,"Rt (Thompson et al., 2019)",1.059,0.869,1.276,2
2020-05-22,"Rt (Thompson et al., 2019)",0.871,0.698,1.070,2
2020-05-23,"Rt (Thompson et al., 2019)",0.866,0.707,1.049,2
2020-05-25,"Rt (Thompson et al., 2019)",0.941,0.776,1.122,2
2020-05-26,"Rt (Thompson et al., 2019)",0.830,0.670,1.011,2
2020-05-27,"Rt (Thompson et al., 2019)",0.823,0.666,0.985,2
2020-05-28,"Rt (Thompson et al., 2019)",1.649,1.403,1.909,2
2020-05-29,"Rt (Thompson et al., 2019)",1.752,1.510,2.021,2
2020-05-30,"Rt (Thompson et al., 2019)",1.728,1.492,1.990,2
2020-06-01,"Rt (Thompson et al., 2019)",1.681,1.437,1.928,2
2020-06-02,"Rt (Thompson et al., 2019)",1.679,1.459,1.937,2
2020-06-03,"Rt (Thompson et al., 2019)",1.549,1.336,1.767,2
2020-06-04,"Rt (Thompson et al., 2019)",0.831,0.692,0.983,2
2020-06-05,"Rt (Thompson et al., 2019)",0.849,0.719,1.001,2
2020-06-06,"Rt (Thompson et al., 2019)",1.066,0.920,1.219,2
2020-06-08,"Rt (Thompson et al., 2019)",1.277,1.129,1.445,2
2020-06-09,"Rt (Thompson et al., 2019)",1.396,1.227,1.562,2
2020-06-10,"Rt (Thompson et al., 2019)",2.611,2.373,2.863,2
2020-06-11,"Rt (Thompson et al., 2019)",2.877,2.628,3.140,2
2020-06-12,"Rt (Thompson et al., 2019)",2.897,2.652,3.163,2
2020-06-13,"Rt (Thompson et al., 2019)",2.553,2.324,2.786,2
2020-06-15,"Rt (Thompson et al., 2019)",2.168,1.985,2.369,2
2020-06-16,"Rt (Thompson et al., 2019)",3.214,2.999,3.410,2
2020-06-17,"Rt (Thompson et al., 2019)",2.332,2.182,2.481,2
2020-06-18,"Rt (Thompson et al., 2019)",2.053,1.912,2.197,2
2020-06-19,"Rt (Thompson et al., 2019)",1.997,1.870,2.124,2
2020-06-20,"Rt (Thompson et al., 2019)",1.922,1.811,2.045,2
2020-06-21,"Rt (Thompson et al., 2019)",1.531,1.441,1.624,2
2020-06-22,"Rt (Thompson et al., 2019)",0.847,0.783,0.909,2
2020-06-23,"Rt (Thompson et al., 2019)",0.951,0.886,1.016,2
2020-06-24,"Rt (Thompson et al., 2019)",1.357,1.284,1.434,2
2020-06-25,"Rt (Thompson et al., 2019)",1.352,1.279,1.422,2
2020-06-26,"Rt (Thompson et al., 2019)",1.340,1.267,1.414,2
2020-06-27,"Rt (Thompson et al., 2019)",1.462,1.383,1.544,2
2020-06-28,"Rt (Thompson et al., 2019)",1.398,1.321,1.478,2
2020-06-29,"Rt (Thompson et al., 2019)",1.500,1.428,1.574,2
2020-06-30,"Rt (Thompson et al., 2019)",1.271,1.205,1.337,2
2020-07-01,"Rt (Thompson et al., 2019)",1.314,1.251,1.378,2
2020-07-02,"Rt (Thompson et al., 2019)",1.478,1.412,1.545,2
2020-07-03,"Rt (Thompson et al., 2019)",1.674,1.605,1.744,2
2020-07-04,"Rt (Thompson et al., 2019)",1.637,1.570,1.702,2
2020-07-05,"Rt (Thompson et al., 2019)",1.461,1.398,1.531,2
2020-07-06,"Rt (Thompson et al., 2019)",1.556,1.496,1.619,2
2020-07-07,"Rt (Thompson et al., 2019)",1.353,1.298,1.411,2
2020-07-08,"Rt (Thompson et al., 2019)",1.326,1.271,1.381,2
2020-07-09,"Rt (Thompson et al., 2019)",1.230,1.181,1.278,2
2020-07-10,"Rt (Thompson et al., 2019)",1.332,1.282,1.383,2
2020-07-11,"Rt (Thompson et al., 2019)",1.294,1.246,1.343,2
2020-07-12,"Rt (Thompson et al., 2019)",1.025,0.984,1.064,2
2020-07-13,"Rt (Thompson et al., 2019)",1.131,1.088,1.170,2
2020-07-14,"Rt (Thompson et al., 2019)",0.917,0.881,0.954,2
2020-07-15,"Rt (Thompson et al., 2019)",0.991,0.955,1.031,2
2020-07-16,"Rt (Thompson et al., 2019)",1.089,1.052,1.130,2
2020-07-17,"Rt (Thompson et al., 2019)",1.135,1.093,1.177,2
2020-07-18,"Rt (Thompson et al., 2019)",1.274,1.231,1.317,2
2020-07-19,"Rt (Thompson et al., 2019)",1.183,1.140,1.225,2
2020-07-20,"Rt (Thompson et al., 2019)",1.294,1.253,1.340,2
2020-07-21,"Rt (Thompson et al., 2019)",1.142,1.102,1.183,2
2020-07-22,"Rt (Thompson et al., 2019)",1.038,0.998,1.075,2
2020-07-23,"Rt (Thompson et al., 2019)",1.046,1.008,1.081,2
2020-07-24,"Rt (Thompson et al., 2019)",1.097,1.062,1.131,2
2020-07-25,"Rt (Thompson et al., 2019)",1.100,1.064,1.138,2
2020-07-26,"Rt (Thompson et al., 2019)",1.009,0.973,1.044,2
2020-07-27,"Rt (Thompson et al., 2019)",0.960,0.926,0.995,2
2020-07-28,"Rt (Thompson et al., 2019)",0.865,0.833,0.901,2
2020-07-29,"Rt (Thompson et al., 2019)",0.772,0.744,0.803,2
2020-07-30,"Rt (Thompson et al., 2019)",0.687,0.659,0.716,2
2020-07-31,"Rt (Thompson et al., 2019)",0.797,0.766,0.829,2
2020-08-01,"Rt (Thompson et al., 2019)",0.952,0.917,0.988,2
2020-08-02,"Rt (Thompson et al., 2019)",1.055,1.017,1.095,2
2020-08-03,"Rt (Thompson et al., 2019)",1.210,1.168,1.250,2
2020-08-04,"Rt (Thompson et al., 2019)",1.362,1.318,1.413,2
2020-08-05,"Rt (Thompson et al., 2019)",1.460,1.415,1.505,2
2020-08-06,"Rt (Thompson et al., 2019)",1.306,1.263,1.347,2
2020-08-07,"Rt (Thompson et al., 2019)",1.155,1.116,1.194,2
2020-08-08,"Rt (Thompson et al., 2019)",1.074,1.038,1.110,2
2020-08-09,"Rt (Thompson et al., 2019)",0.937,0.901,0.970,2
2020-08-10,"Rt (Thompson et al., 2019)",0.852,0.821,0.882,2
2020-08-11,"Rt (Thompson et al., 2019)",0.745,0.716,0.773,2
2020-08-12,"Rt (Thompson et al., 2019)",0.756,0.728,0.785,2
2020-08-13,"Rt (Thompson et al., 2019)",0.799,0.769,0.832,2
2020-08-14,"Rt (Thompson et al., 2019)",0.858,0.825,0.890,2
2020-08-15,"Rt (Thompson et al., 2019)",0.933,0.898,0.965,2
2020-08-16,"Rt (Thompson et al., 2019)",0.969,0.932,1.005,2
2020-08-17,"Rt (Thompson et al., 2019)",1.026,0.989,1.065,2
2020-08-18,"Rt (Thompson et al., 2019)",1.033,0.993,1.071,2
2020-08-19,"Rt (Thompson et al., 2019)",1.000,0.963,1.039,2
2020-08-20,"Rt (Thompson et al., 2019)",0.963,0.925,1.003,2
2020-08-21,"Rt (Thompson et al., 2019)",0.899,0.861,0.937,2
2020-08-22,"Rt (Thompson et al., 2019)",0.842,0.811,0.876,2
2020-08-23,"Rt (Thompson et al., 2019)",0.821,0.788,0.855,2
2020-08-24,"Rt (Thompson et al., 2019)",0.779,0.746,0.813,2
2020-08-25,"Rt (Thompson et al., 2019)",0.749,0.716,0.783,2
2020-08-26,"Rt (Thompson et al., 2019)",0.784,0.750,0.818,2
2020-08-27,"Rt (Thompson et al., 2019)",0.883,0.847,0.920,2
2020-08-28,"Rt (Thompson et al., 2019)",1.010,0.969,1.051,2
2020-08-29,"Rt (Thompson et al., 2019)",1.060,1.016,1.109,2
2020-08-30,"Rt (Thompson et al., 2019)",1.116,1.073,1.161,2
2020-08-31,"Rt (Thompson et al., 2019)",1.161,1.116,1.207,2
2020-09-01,"Rt (Thompson et al., 2019)",1.117,1.073,1.161,2
2020-09-02,"Rt (Thompson et al., 2019)",1.071,1.030,1.113,2
2020-09-03,"Rt (Thompson et al., 2019)",1.049,1.005,1.091,2
2020-09-04,"Rt (Thompson et al., 2019)",1.072,1.030,1.112,2
2020-09-05,"Rt (Thompson et al., 2019)",1.139,1.096,1.181,2
2020-09-06,"Rt (Thompson et al., 2019)",1.177,1.134,1.224,2
2020-09-07,"Rt (Thompson et al., 2019)",1.191,1.149,1.234,2
2020-09-08,"Rt (Thompson et al., 2019)",1.078,1.036,1.117,2
2020-09-09,"Rt (Thompson et al., 2019)",0.962,0.922,1.000,2
2020-09-10,"Rt (Thompson et al., 2019)",0.876,0.839,0.912,2
2020-09-11,"Rt (Thompson et al., 2019)",0.782,0.748,0.819,2
2020-09-12,"Rt (Thompson et al., 2019)",0.774,0.741,0.806,2
2020-09-13,"Rt (Thompson et al., 2019)",0.793,0.759,0.828,2
2020-09-14,"Rt (Thompson et al., 2019)",0.939,0.897,0.975,2
2020-09-15,"Rt (Thompson et al., 2019)",1.072,1.033,1.114,2
2020-09-16,"Rt (Thompson et al., 2019)",1.132,1.091,1.173,2
2020-09-17,"Rt (Thompson et al., 2019)",1.195,1.150,1.243,2
2020-09-18,"Rt (Thompson et al., 2019)",1.130,1.087,1.174,2
2020-09-19,"Rt (Thompson et al., 2019)",1.054,1.012,1.096,2
2020-09-20,"Rt (Thompson et al., 2019)",0.938,0.900,0.979,2
2020-09-21,"Rt (Thompson et al., 2019)",0.849,0.813,0.882,2
2020-09-22,"Rt (Thompson et al., 2019)",0.826,0.792,0.861,2
2020-09-23,"Rt (Thompson et al., 2019)",0.805,0.770,0.841,2
2020-09-24,"Rt (Thompson et al., 2019)",0.868,0.831,0.904,2
2020-09-25,"Rt (Thompson et al., 2019)",0.888,0.849,0.923,2
2020-09-26,"Rt (Thompson et al., 2019)",0.937,0.896,0.976,2
2020-09-28,"Rt (Thompson et al., 2019)",0.984,0.945,1.027,2
2020-09-29,"Rt (Thompson et al., 2019)",1.001,0.959,1.043,2
2020-09-30,"Rt (Thompson et al., 2019)",0.961,0.921,1.002,2
2020-10-01,"Rt (Thompson et al., 2019)",0.945,0.903,0.988,2
2020-10-02,"Rt (Thompson et al., 2019)",0.954,0.912,0.997,2
2020-10-03,"Rt (Thompson et al., 2019)",0.935,0.892,0.975,2
2020-10-05,"Rt (Thompson et al., 2019)",0.909,0.870,0.949,2
2020-10-06,"Rt (Thompson et al., 2019)",0.910,0.870,0.950,2
2020-10-07,"Rt (Thompson et al., 2019)",0.974,0.930,1.020,2
2020-10-08,"Rt (Thompson et al., 2019)",0.984,0.940,1.030,2
2020-10-09,"Rt (Thompson et al., 2019)",0.996,0.956,1.040,2
2020-10-10,"Rt (Thompson et al., 2019)",1.055,1.007,1.103,2
2020-10-12,"Rt (Thompson et al., 2019)",1.094,1.050,1.139,2
2020-10-13,"Rt (Thompson et al., 2019)",1.068,1.023,1.114,2
2020-10-14,"Rt (Thompson et al., 2019)",0.963,0.921,1.005,2
2020-10-15,"Rt (Thompson et al., 2019)",0.904,0.858,0.947,2
2020-10-16,"Rt (Thompson et al., 2019)",0.853,0.811,0.895,2
2020-10-17,"Rt (Thompson et al., 2019)",0.821,0.784,0.861,2
2020-10-19,"Rt (Thompson et al., 2019)",0.815,0.774,0.854,2
2020-10-20,"Rt (Thompson et al., 2019)",0.846,0.805,0.886,2
2020-10-21,"Rt (Thompson et al., 2019)",0.926,0.884,0.969,2
2020-10-22,"Rt (Thompson et al., 2019)",1.018,0.972,1.066,2
2020-10-23,"Rt (Thompson et al., 2019)",1.090,1.041,1.141,2
2020-10-24,"Rt (Thompson et al., 2019)",1.119,1.070,1.169,2
2020-10-26,"Rt (Thompson et al., 2019)",1.084,1.033,1.133,2
2020-10-27,"Rt (Thompson et al., 2019)",1.128,1.078,1.181,2
2020-10-28,"Rt (Thompson et al., 2019)",1.161,1.111,1.208,2
2020-10-29,"Rt (Thompson et al., 2019)",1.128,1.080,1.178,2
2020-10-30,"Rt (Thompson et al., 2019)",1.136,1.091,1.187,2
2020-10-31,"Rt (Thompson et al., 2019)",1.140,1.092,1.188,2
2020-11-03,"Rt (Thompson et al., 2019)",1.455,1.401,1.510,2
2020-11-04,"Rt (Thompson et al., 2019)",1.391,1.338,1.446,2
2020-11-05,"Rt (Thompson et al., 2019)",1.381,1.329,1.435,2
2020-11-06,"Rt (Thompson et al., 2019)",1.372,1.322,1.420,2
2020-11-07,"Rt (Thompson et al., 2019)",1.343,1.293,1.391,2
2020-11-09,"Rt (Thompson et al., 2019)",1.302,1.258,1.350,2
2020-11-10,"Rt (Thompson et al., 2019)",1.044,1.005,1.084,2
2020-11-11,"Rt (Thompson et al., 2019)",1.144,1.105,1.186,2
2020-11-12,"Rt (Thompson et al., 2019)",1.211,1.170,1.253,2
2020-11-13,"Rt (Thompson et al., 2019)",1.287,1.245,1.332,2
2020-11-14,"Rt (Thompson et al., 2019)",1.352,1.309,1.395,2
2020-11-16,"Rt (Thompson et al., 2019)",1.679,1.635,1.728,2
2020-11-17,"Rt (Thompson et al., 2019)",1.774,1.726,1.820,2
2020-11-18,"Rt (Thompson et al., 2019)",1.738,1.693,1.784,2
2020-11-19,"Rt (Thompson et al., 2019)",1.806,1.763,1.853,2
2020-11-20,"Rt (Thompson et al., 2019)",1.814,1.772,1.857,2
2020-11-21,"Rt (Thompson et al., 2019)",1.774,1.735,1.813,2
2020-11-22,"Rt (Thompson et al., 2019)",1.477,1.443,1.510,2
2020-11-23,"Rt (Thompson et al., 2019)",1.432,1.399,1.464,2
2020-11-24,"Rt (Thompson et al., 2019)",1.340,1.312,1.372,2
2020-11-25,"Rt (Thompson et al., 2019)",1.260,1.232,1.287,2
2020-11-26,"Rt (Thompson et al., 2019)",1.202,1.174,1.230,2
2020-11-27,"Rt (Thompson et al., 2019)",1.176,1.152,1.202,2
2020-11-28,"Rt (Thompson et al., 2019)",1.215,1.191,1.241,2
2020-11-29,"Rt (Thompson et al., 2019)",1.132,1.108,1.156,2
2020-11-30,"Rt (Thompson et al., 2019)",1.122,1.098,1.147,2
2020-12-01,"Rt (Thompson et al., 2019)",1.053,1.030,1.078,2
2020-12-02,"Rt (Thompson et al., 2019)",0.974,0.952,0.995,2
2020-12-03,"Rt (Thompson et al., 2019)",0.926,0.905,0.945,2
2020-12-04,"Rt (Thompson et al., 2019)",0.944,0.924,0.964,2
2020-12-05,"Rt (Thompson et al., 2019)",1.001,0.979,1.024,2
2020-12-06,"Rt (Thompson et al., 2019)",0.997,0.976,1.019,2
2020-12-07,"Rt (Thompson et al., 2019)",1.037,1.014,1.058,2
2020-12-08,"Rt (Thompson et al., 2019)",1.046,1.025,1.070,2
2020-12-09,"Rt (Thompson et al., 2019)",1.056,1.032,1.077,2
2020-12-10,"Rt (Thompson et al., 2019)",1.004,0.983,1.026,2
2020-12-11,"Rt (Thompson et al., 2019)",0.981,0.960,1.003,2
2020-12-13,"Rt (Thompson et al., 2019)",1.106,1.083,1.129,2
2020-12-14,"Rt (Thompson et al., 2019)",1.031,1.009,1.053,2
2020-12-15,"Rt (Thompson et al., 2019)",1.007,0.987,1.029,2
2020-12-16,"Rt (Thompson et al., 2019)",1.018,0.997,1.041,2
2020-12-17,"Rt (Thompson et al., 2019)",0.957,0.936,0.979,2
2020-12-18,"Rt (Thompson et al., 2019)",0.889,0.869,0.909,2
2020-12-19,"Rt (Thompson et al., 2019)",0.712,0.693,0.730,2
2020-12-20,"Rt (Thompson et al., 2019)",0.702,0.684,0.719,2
2020-12-21,"Rt (Thompson et al., 2019)",0.704,0.686,0.722,2
2020-12-22,"Rt (Thompson et al., 2019)",0.645,0.629,0.663,2
2020-12-23,"Rt (Thompson et al., 2019)",0.647,0.629,0.666,2
2020-12-27,"Rt (Thompson et al., 2019)",0.845,0.825,0.867,2
2020-12-28,"Rt (Thompson et al., 2019)",0.909,0.885,0.933,2
2020-12-29,"Rt (Thompson et al., 2019)",0.977,0.955,1.001,2
2020-12-30,"Rt (Thompson et al., 2019)",1.033,1.006,1.060,2
2021-01-02,"Rt (Thompson et al., 2019)",1.245,1.214,1.277,2
2021-01-04,"Rt (Thompson et al., 2019)",1.234,1.206,1.262,2
2021-01-05,"Rt (Thompson et al., 2019)",0.981,0.953,1.006,2
2021-01-06,"Rt (Thompson et al., 2019)",0.956,0.930,0.982,2
2021-01-07,"Rt (Thompson et al., 2019)",0.934,0.911,0.958,2
2021-01-08,"Rt (Thompson et al., 2019)",0.894,0.872,0.917,2
2021-01-09,"Rt (Thompson et al., 2019)",0.699,0.678,0.719,2
2021-01-11,"Rt (Thompson et al., 2019)",0.777,0.756,0.799,2
2021-01-12,"Rt (Thompson et al., 2019)",0.810,0.788,0.831,2
2021-01-13,"Rt (Thompson et al., 2019)",0.843,0.820,0.867,2
2021-01-14,"Rt (Thompson et al., 2019)",0.892,0.868,0.917,2
2021-01-15,"Rt (Thompson et al., 2019)",0.945,0.920,0.971,2
2021-01-16,"Rt (Thompson et al., 2019)",1.027,0.998,1.055,2
2021-01-18,"Rt (Thompson et al., 2019)",0.984,0.956,1.015,2
2021-01-19,"Rt (Thompson et al., 2019)",1.011,0.982,1.037,2
2021-01-20,"Rt (Thompson et al., 2019)",0.988,0.960,1.017,2
2021-01-21,"Rt (Thompson et al., 2019)",0.902,0.876,0.927,2
2021-01-22,"Rt (Thompson et al., 2019)",0.816,0.791,0.842,2
2021-01-23,"Rt (Thompson et al., 2019)",0.737,0.714,0.759,2
2021-01-25,"Rt (Thompson et al., 2019)",0.704,0.680,0.728,2
2021-01-26,"Rt (Thompson et al., 2019)",0.638,0.615,0.660,2
2021-01-27,"Rt (Thompson et al., 2019)",0.597,0.576,0.620,2
2021-01-28,"Rt (Thompson et al., 2019)",0.624,0.601,0.648,2
2021-01-29,"Rt (Thompson et al., 2019)",0.691,0.666,0.718,2
2021-01-30,"Rt (Thompson et al., 2019)",0.764,0.736,0.792,2
2021-02-01,"Rt (Thompson et al., 2019)",0.897,0.866,0.930,2
2021-02-02,"Rt (Thompson et al., 2019)",0.970,0.939,1.004,2
2021-02-03,"Rt (Thompson et al., 2019)",1.061,1.025,1.100,2
2021-02-04,"Rt (Thompson et al., 2019)",1.106,1.066,1.146,2
2021-02-05,"Rt (Thompson et al., 2019)",1.085,1.049,1.121,2
2021-02-06,"Rt (Thompson et al., 2019)",1.023,0.986,1.057,2
2021-02-08,"Rt (Thompson et al., 2019)",0.881,0.849,0.915,2
2021-02-09,"Rt (Thompson et al., 2019)",0.832,0.801,0.863,2
2021-02-10,"Rt (Thompson et al., 2019)",0.782,0.750,0.813,2
2021-02-11,"Rt (Thompson et al., 2019)",0.758,0.727,0.789,2
2021-02-12,"Rt (Thompson et al., 2019)",0.776,0.747,0.807,2
2021-02-13,"Rt (Thompson et al., 2019)",0.833,0.801,0.869,2
2021-02-15,"Rt (Thompson et al., 2019)",0.941,0.905,0.981,2
2021-02-16,"Rt (Thompson et al., 2019)",0.996,0.958,1.034,2
2021-02-17,"Rt (Thompson et al., 2019)",1.049,1.008,1.087,2
2021-02-18,"Rt (Thompson et al., 2019)",1.088,1.047,1.128,2
2021-02-19,"Rt (Thompson et al., 2019)",1.082,1.044,1.122,2
2021-02-20,"Rt (Thompson et al., 2019)",1.106,1.065,1.148,2
2021-02-22,"Rt (Thompson et al., 2019)",1.299,1.254,1.342,2
2021-02-23,"Rt (Thompson et al., 2019)",1.466,1.420,1.512,2
2021-02-24,"Rt (Thompson et al., 2019)",1.574,1.524,1.621,2
2021-02-25,"Rt (Thompson et al., 2019)",1.617,1.568,1.667,2
2021-02-26,"Rt (Thompson et al., 2019)",1.742,1.694,1.795,2
2021-02-27,"Rt (Thompson et al., 2019)",1.703,1.657,1.751,2
2021-03-01,"Rt (Thompson et al., 2019)",1.695,1.650,1.739,2
2021-03-02,"Rt (Thompson et al., 2019)",1.539,1.498,1.582,2
2021-03-03,"Rt (Thompson et al., 2019)",1.453,1.416,1.491,2
2021-03-04,"Rt (Thompson et al., 2019)",1.418,1.384,1.453,2
2021-03-05,"Rt (Thompson et al., 2019)",1.321,1.288,1.355,2
2021-03-08,"Rt (Thompson et al., 2019)",1.645,1.607,1.679,2
2021-03-09,"Rt (Thompson et al., 2019)",1.442,1.411,1.474,2
2021-03-10,"Rt (Thompson et al., 2019)",1.446,1.414,1.477,2
2021-03-11,"Rt (Thompson et al., 2019)",1.459,1.430,1.490,2
2021-03-12,"Rt (Thompson et al., 2019)",1.450,1.421,1.479,2
2021-03-13,"Rt (Thompson et al., 2019)",1.368,1.339,1.396,2
2021-03-15,"Rt (Thompson et al., 2019)",1.243,1.218,1.269,2
2021-03-16,"Rt (Thompson et al., 2019)",1.190,1.165,1.214,2
2021-03-17,"Rt (Thompson et al., 2019)",1.113,1.090,1.134,2
2021-03-18,"Rt (Thompson et al., 2019)",1.012,0.991,1.032,2
2021-03-19,"Rt (Thompson et al., 2019)",0.906,0.886,0.925,2
2021-03-20,"Rt (Thompson et al., 2019)",0.836,0.817,0.854,2
2021-03-21,"Rt (Thompson et al., 2019)",0.622,0.606,0.638,2
2021-03-22,"Rt (Thompson et al., 2019)",0.602,0.586,0.617,2
2021-03-23,"Rt (Thompson et al., 2019)",0.586,0.570,0.602,2
2021-03-24,"Rt (Thompson et al., 2019)",0.632,0.614,0.648,2
2021-03-25,"Rt (Thompson et al., 2019)",0.710,0.692,0.729,2
2021-03-26,"Rt (Thompson et al., 2019)",0.808,0.787,0.828,2
2021-03-27,"Rt (Thompson et al., 2019)",0.920,0.897,0.945,2
2021-03-28,"Rt (Thompson et al., 2019)",0.977,0.951,1.004,2
2021-03-29,"Rt (Thompson et al., 2019)",1.032,1.005,1.056,2
2021-03-30,"Rt (Thompson et al., 2019)",1.007,0.981,1.033,2
2021-03-31,"Rt (Thompson et al., 2019)",0.934,0.909,0.959,2
2021-04-01,"Rt (Thompson et al., 2019)",0.896,0.871,0.920,2
2021-04-02,"Rt (Thompson et al., 2019)",0.866,0.842,0.889,2
2021-04-03,"Rt (Thompson et al., 2019)",0.847,0.824,0.871,2
2021-04-05,"Rt (Thompson et al., 2019)",0.925,0.900,0.950,2
2021-04-06,"Rt (Thompson et al., 2019)",0.911,0.887,0.936,2
2021-04-07,"Rt (Thompson et al., 2019)",0.911,0.885,0.937,2
2021-04-08,"Rt (Thompson et al., 2019)",0.914,0.886,0.939,2
2021-04-09,"Rt (Thompson et al., 2019)",0.901,0.875,0.927,2
2021-04-10,"Rt (Thompson et al., 2019)",0.891,0.865,0.915,2
2021-04-11,"Rt (Thompson et al., 2019)",0.775,0.751,0.801,2
2021-04-12,"Rt (Thompson et al., 2019)",0.775,0.750,0.800,2
2021-04-13,"Rt (Thompson et al., 2019)",0.795,0.769,0.822,2
2021-04-14,"Rt (Thompson et al., 2019)",0.801,0.776,0.826,2
2021-04-15,"Rt (Thompson et al., 2019)",0.819,0.792,0.847,2
2021-04-16,"Rt (Thompson et al., 2019)",0.833,0.803,0.860,2
2021-04-17,"Rt (Thompson et al., 2019)",0.833,0.806,0.861,2
2021-04-18,"Rt (Thompson et al., 2019)",0.820,0.792,0.848,2
2021-04-19,"Rt (Thompson et al., 2019)",0.794,0.764,0.822,2
2021-04-20,"Rt (Thompson et al., 2019)",0.788,0.759,0.815,2
2021-04-21,"Rt (Thompson et al., 2019)",0.781,0.754,0.810,2
2021-04-22,"Rt (Thompson et al., 2019)",0.829,0.800,0.857,2
2021-04-23,"Rt (Thompson et al., 2019)",0.868,0.837,0.899,2
2021-04-24,"Rt (Thompson et al., 2019)",0.942,0.911,0.976,2
2021-04-25,"Rt (Thompson et al., 2019)",0.995,0.961,1.031,2
2021-04-26,"Rt (Thompson et al., 2019)",1.049,1.014,1.083,2
2021-04-27,"Rt (Thompson et al., 2019)",1.101,1.063,1.140,2
